zip,username,url,age,profile_image,match,enemy
02108,Zenithegreat,www.okcupid.com/profile/Zenithegreat,24,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/21x170/756x905/2/10361629182565169433.jpeg?v=1,90,11
02108,haveyoumetkendra,www.okcupid.com/profile/haveyoumetkendra,26,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x31/507x538/2/6056251636507830887.jpeg?v=1,90,18
02108,ESkellington,www.okcupid.com/profile/ESkellington,24,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x188/1200x1388/2/14624261134225340270.jpeg?v=1,90,13
02108,pondeyes,www.okcupid.com/profile/pondeyes,28,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x36/640x676/2/8281915926538437527.jpeg?v=1,90,19
02108,mcquillenm,www.okcupid.com/profile/mcquillenm,25,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/1024x1024/2/874477558783409966.jpeg?v=1,90,13
02108,amanda194,www.okcupid.com/profile/amanda194,22,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/720x721/2/2209983436551923349.jpeg?v=1,90,15
02108,recnepslehcar,www.okcupid.com/profile/recnepslehcar,23,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x5/539x544/2/5699912515310496338.jpeg?v=1,90,8
02108,rjarasaurus,www.okcupid.com/profile/rjarasaurus,27,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/138x90/501x453/2/1864479546427109648.jpeg?v=1,90,16
02108,cleepat,www.okcupid.com/profile/cleepat,29,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/7x93/372x458/2/10645224223602402490.jpeg?v=1,90,15
02108,epc1340,www.okcupid.com/profile/epc1340,25,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/40x304/454x718/2/609439144068854845.jpeg?v=1,90,20
02108,m0br0,www.okcupid.com/profile/m0br0,22,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/107x165/1008x1066/2/18331692290758457257.jpeg?v=1,90,14
02108,foolishhungry,www.okcupid.com/profile/foolishhungry,23,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/329x171/1062x904/2/4512462679552016727.jpeg?v=1,90,22
02108,lsimocko,www.okcupid.com/profile/lsimocko,30,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/39x236/561x758/2/17914009835330676924.jpeg?v=1,90,25
02108,ErikaMBR,www.okcupid.com/profile/ErikaMBR,26,https://k3.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x20/841x860/2/4798704530337943206.jpeg?v=1,90,11
02108,aswan11,www.okcupid.com/profile/aswan11,24,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/960x960/2/5324067191526089525.jpeg?v=1,90,16
02108,cperak,www.okcupid.com/profile/cperak,26,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/17x0/497x480/2/11894433152630349453.jpeg?v=1,90,11
02108,morg323,www.okcupid.com/profile/morg323,21,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/960x960/2/16076171163818773943.jpeg?v=1,90,0
02108,gwack-a-mole,www.okcupid.com/profile/gwack-a-mole,24,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/727x727/2/7748805050127974963.jpeg?v=1,90,19
02108,BAE0wulf,www.okcupid.com/profile/BAE0wulf,29,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/2x54/673x725/2/15048811392684897362.jpeg?v=1,90,21
02108,Elizabeth10586,www.okcupid.com/profile/Elizabeth10586,30,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/5x56/432x483/2/1674436658279681809.jpeg?v=1,90,11
02108,sweetsourdough,www.okcupid.com/profile/sweetsourdough,26,https://k1.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x32/648x680/2/2229056840912335609.jpeg?v=1,90,15
02108,LizScout,www.okcupid.com/profile/LizScout,29,https://k0.okccdn.com/php/load_okc_image.php/images/400x400/400x400/0x0/960x960/2/11192537589921702901.jpeg?v=1,90,23
02108,Mellbrod,www.okcupid.com/profile/Mellbrod,26,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/92x92/826x826/2/15312750056212600598.jpeg?v=1,90,23
02108,lbmusicgirl116,www.okcupid.com/profile/lbmusicgirl116,30,https://k2.okccdn.com/php/load_okc_image.php/images/400x400/400x400/96x0/453x357/2/8636469622670507038.jpeg?v=1,90,8
